run_id,package_id,package_type,uld_id,x0,y0,z0,x1,y1,z1,vol_l,vol_w,vol_h,volume,orientation_used
0,P-001,Priority,ULD-1,0.0,0.0,0.0,80.0,60.0,50.0,80.0,60.0,50.0,240000.0,"[80, 60, 50]"
0,P-002,Priority,ULD-1,0.0,0.0,50.0,100.0,80.0,110.0,100.0,80.0,60.0,480000.0,"[100, 80, 60]"
0,P-003,Priority,ULD-1,0.0,0.0,110.0,60.0,50.0,150.0,60.0,50.0,40.0,120000.0,"[60, 50, 40]"
0,P-004,Priority,ULD-1,0.0,80.0,0.0,120.0,170.0,70.0,120.0,90.0,70.0,756000.0,"[120, 90, 70]"
0,P-005,Priority,ULD-1,0.0,50.0,110.0,70.0,110.0,160.0,70.0,60.0,50.0,210000.0,"[70, 60, 50]"
0,P-006,Priority,ULD-1,0.0,110.0,70.0,90.0,180.0,130.0,90.0,70.0,60.0,378000.0,"[90, 70, 60]"
0,E-001,Economy,ULD-2,0.0,0.0,0.0,80.0,60.0,50.0,80.0,60.0,50.0,240000.0,"[80, 60, 50]"
0,E-002,Economy,ULD-2,0.0,0.0,50.0,110.0,80.0,120.0,110.0,80.0,70.0,616000.0,"[110, 80, 70]"
0,E-003,Economy,ULD-1,0.0,110.0,130.0,50.0,150.0,160.0,50.0,40.0,30.0,60000.0,"[50, 40, 30]"
0,E-004,Economy,ULD-2,0.0,80.0,0.0,90.0,150.0,60.0,90.0,70.0,60.0,378000.0,"[90, 70, 60]"
0,E-005,Economy,ULD-2,0.0,0.0,120.0,60.0,50.0,160.0,60.0,50.0,40.0,120000.0,"[60, 50, 40]"
0,E-006,Economy,ULD-2,0.0,80.0,60.0,130.0,180.0,140.0,130.0,100.0,80.0,1040000.0,"[130, 100, 80]"
0,E-007,Economy,ULD-2,80.0,0.0,0.0,150.0,55.0,45.0,70.0,55.0,45.0,173250.0,"[70, 55, 45]"
0,E-008,Economy,ULD-2,60.0,0.0,120.0,100.0,35.0,150.0,40.0,35.0,30.0,42000.0,"[40, 35, 30]"
0,E-009,Economy,ULD-3,0.0,0.0,0.0,95.0,75.0,65.0,95.0,75.0,65.0,463125.0,"[95, 75, 65]"
0,E-010,Economy,ULD-2,60.0,35.0,120.0,115.0,80.0,155.0,55.0,45.0,35.0,86625.0,"[55, 45, 35]"
1,P-006,Priority,ULD-1,0.0,0.0,0.0,60.0,90.0,70.0,60.0,90.0,70.0,378000.0,"[60, 90, 70]"
1,P-005,Priority,ULD-1,0.0,0.0,70.0,60.0,70.0,120.0,60.0,70.0,50.0,210000.0,"[60, 70, 50]"
1,P-004,Priority,ULD-1,0.0,90.0,0.0,70.0,180.0,120.0,70.0,90.0,120.0,756000.0,"[70, 90, 120]"
1,P-002,Priority,ULD-1,60.0,0.0,0.0,160.0,60.0,80.0,100.0,60.0,80.0,480000.0,"[100, 60, 80]"
1,P-003,Priority,ULD-1,60.0,0.0,80.0,100.0,60.0,130.0,40.0,60.0,50.0,120000.0,"[40, 60, 50]"
1,P-001,Priority,ULD-1,70.0,60.0,0.0,150.0,110.0,60.0,80.0,50.0,60.0,240000.0,"[80, 50, 60]"
1,E-006,Economy,ULD-2,0.0,0.0,0.0,130.0,80.0,100.0,130.0,80.0,100.0,1040000.0,"[130, 80, 100]"
1,E-010,Economy,ULD-1,70.0,60.0,60.0,115.0,95.0,115.0,45.0,35.0,55.0,86625.0,"[45, 35, 55]"
1,E-003,Economy,ULD-2,0.0,0.0,100.0,50.0,40.0,130.0,50.0,40.0,30.0,60000.0,"[50, 40, 30]"
